Player,IFPA Rank,MPLB,Restriction,Fall 2019 Team,IFPA_ID,Matchplay_ID
Gene X Hwang,239,1540,T500,Mission Flipsters,13052,9
David Elrod,2738,1493,T1000,Mission Flipsters,67963,11291
Jonny O,2466,1528,T1000,Mission Flipsters,6189,2933
Stacey Miller Lewis,28988,1357,,Mission Flipsters,53214,5306
James Alvin Barron,10525,1284,,Mission Flipsters,10686,7624
Rachel Winn,N/A,1205,,Mission Flipsters,,
Kevin Lewis,16020,1176,,Mission Flipsters,2331,4417
Jasmine Rice,30259,N/A,,Mission Flipsters,60215,
Estella Barboza,N/A,1358,,Mission Flipsters,74382,12068
Heidi Weber,N/A,N/A,,Mission Flipsters,,
Leslie Ruckman,664,1562,T500,Leslie & the Bushwhackers,47411,4451
Ryan O’Donnell,318,1611,T500,Leslie & the Bushwhackers,47679,4747
Oli Notteghem,2410,1527,T1000,Leslie & the Bushwhackers,53565,3874
Jane Nadeau,4414,1381,,Leslie & the Bushwhackers,49649,3040
Anna Buschman,8558,1468,,Leslie & the Bushwhackers,35946,1998
Peter Soriano,4334,1461,,Leslie & the Bushwhackers,41564,970
Evan Ponchick,7231,1341,,Leslie & the Bushwhackers,38319,4085
Amanda Futrell,N/A,1289,,Leslie & the Bushwhackers,73171,10048
Chris Constantino,10146,1405,,Leslie & the Bushwhackers,69620,10095
David Brady,14719,1435,,Leslie & the Bushwhackers,50639,7881
Aileen Win,N/A,N/A,,Leslie & the Bushwhackers,,
Ben Chen,13639,1400,,Leslie & the Bushwhackers,72628,8569
Jamie Uziel,1250,1527,T1000,Hells Belles,29804,559
Julie Driscoll ,4700,1342,,Hells Belles,51806,3216
Meghan Long,5688,1358,,Hells Belles,40488,675
Genele Egea,3770,1335,,Hells Belles,38597,468
Lisa Ramon,5128,1271,,Hells Belles,26698,363
Terri Lynn Delk,5101,1431,,Hells Belles,41210,706
Alyce Kalmar,16806,1178,,Hells Belles,57833,12747
Shannon Sweetser,4124,1406,,Hells Belles,38690,2293
Russ Sweetser,1759,1446,,Hells Belles,19312,464
Eric Wagensonner,140,1628,T500,The Trust,8855,156
Gabe Da Silveira,218,1594,T500,The Trust,18245,2075
Jeremy Herrman,1479,1574,T500,The Trust,22175,927
Derek Lipkin,750,1527,T1000,The Trust,33048,86
Daylene Langum,3150,1415,,The Trust,45061,1760
Ryan Blumenthal,2893,1447,,The Trust,19313,2030
Anthony R,N/A,N/A,,The Trust,,
Jordan Lay,24166,1257,,The Trust,70684,9446
Noah Garrett Wallach,9660,1045,,The Trust,55160,2530
Rebecca Neufeld,36008,N/A,,The Trust,62055,
Steve Dupree,N/A,N/A,,The Trust,60702,
Zac Wollons,93,1634,T500,TBD,21965,41
Darren Ensley,1411,1493,T1000,TBD,12117,424
Tom Collins,3185,1506,T1000,TBD,12378,6963
Adam Abeyta,5139,1471,,TBD,64521,8089
Maura Devereux,3182,1392,,TBD,25487,2142
Eddie Codel,3468,1375,,TBD,25476,1114
Susie Wasserstrom,9467,1414,,TBD,40436,535
Bennett Schatz,8821,1414,,TBD,64518,8181
David Volansky,n/a,1354,,TBD,16705,
Simon Anixter,1515,1473,,TBD,21927,2636
Jeremy Williams,1687,1465,,TBD,14560,59
Kallie Schloemann,N/A,N/A,,TBD,,
Das Damico,2072,1508,T1000,Flip Mode Squad,39717,566
Matt Henri,1390,1482,T1000,Flip Mode Squad,16767,2152
Matt Willmarth,1680,1467,,Flip Mode Squad,10662,962
James Squires,4217,1451,,Flip Mode Squad,10751,547
Andy Steinhauser,3491,1469,,Flip Mode Squad,23707,2180
Ryan Wooley,2968,1472,,Flip Mode Squad,25460,2172
N8 Ball Deluxe,1353,1456,,Flip Mode Squad,25465,2159
Zac Desario,4013,1407,,Flip Mode Squad,44053,3127
Clouse,N/A,1210,,Flip Mode Squad,,
James Teets,15770,N/A,,Flip Mode Squad,44060,
Jared Garvey,359,1608,T500,Vandelay Pindustries,35784,135
David Lee,538,1542,T500,Vandelay Pindustries,12216,162
Nick Yahnke,1376,1500,T1000,Vandelay Pindustries,44733,1627
David Ortega,3706,1452,,Vandelay Pindustries,45894,2469
Emily Palmer,11312,1255,,Vandelay Pindustries,53002,11289
Gina Collecchia,11695,1296,,Vandelay Pindustries,72629,11357
John Cena,5098,1337,,Vandelay Pindustries,24766,1171
Jose Godinez,2481,1459,,Vandelay Pindustries,38603,943
Mike Villarreal,2488,1435,,Vandelay Pindustries,30082,790
Nikki Muñoz,N/A,N/A,,Vandelay Pindustries,,
Brian O’Neill,54,1669,T500,Outer Orbit Otters,19301,184
Greg Creech,4172,1390,,Outer Orbit Otters,44319,2961
Cassie Barnes,10537,1277,,Outer Orbit Otters,57363,6069
Megan Magick,21322,1161,,Outer Orbit Otters,68699,5126
Veronica Grisham,18707,1211,,Outer Orbit Otters,68696,9419
Jack Marrow,N/A,N/A,,Outer Orbit Otters,,
Manu Smith,11704,1394,,Outer Orbit Otters,36767,7691
Mary Smith,N/A,N/A,,Outer Orbit Otters,75414,13227
Lauren McNeil,11527,1362,,Outer Orbit Otters,1316,37640
Brandy Nicole Thompson,10295,1351,,Outer Orbit Otters,40156,1844
Christian Gainsley,9822,1345,,Outer Orbit Otters,52910,3241
Elisabeth Kohnke,13436,1294,,Outer Orbit Otters,56016,
Jeff C Jenson,N/A,N/A,,Outer Orbit Otters,,
Travis Mackin,N/A,N/A,,Outer Orbit Otters,,
Michael Szabo,15274,1231,,Outer Orbit Otters,24780,12639
Mike Miller,,,,,26157,161
Allison O'Neil,,,,,19302,181
Bryn Garrehy,,,,,64509,
Danny Zhang,,,,,44734,1667
Gilbert Amar,,,,,62268,7871
Janel Valdez,,,,,45062,1761
Justin Guevara,,,,,67154,5286
Louise Wagensonner,,,,,19305,677
Luke Baxter,,,,,48658,2874
Megan Doak,,,,,,
Nicholas Sternhagen,,,,,,
Per Schwarzenberger,,,,,12220,2
Tom Miller,,,,,53128,4125