Player,IFPA Rank,MPLB,Restriction,Fall 2019 Team,IFPA_ID,Matchplay_ID,Jan2020-MP-LB,Jan2020-IFPA_Rank
Gene X Hwang,239,1540,T500,Mission Flipsters,13052,9,1618,184
David Elrod,2738,1493,T1000,Mission Flipsters,67963,11291,1469,2606
Jonny O,2466,1528,T1000,Mission Flipsters,6189,2933,1499,2549
Stacey Miller Lewis,28988,1357,,Mission Flipsters,53214,5306,1364,11848
James Alvin Barron,10525,1284,,Mission Flipsters,10686,7624,1401,4790
Rachel Winn,N/A,1205,,Mission Flipsters,,,,
Kevin Lewis,16020,1176,,Mission Flipsters,2331,4417,1250,0
Jasmine Rice,30259,N/A,,Mission Flipsters,60215,,1250,31634
Estella Barboza,N/A,1358,,Mission Flipsters,74382,12068,1356,11484
Heidi Weber,N/A,N/A,,Mission Flipsters,,,,
Leslie Ruckman,664,1562,T500,Leslie & the Bushwhackers,47411,4451,1603,660
Ryan O’Donnell,318,1611,T500,Leslie & the Bushwhackers,47679,4747,1613,264
Oli Notteghem,2410,1527,T1000,Leslie & the Bushwhackers,53565,3874,1463,2471
Jane Nadeau,4414,1381,,Leslie & the Bushwhackers,49649,3040,1389,4811
Anna Buschman,8558,1468,,Leslie & the Bushwhackers,35946,1998,1442,9197
Peter Soriano,4334,1461,,Leslie & the Bushwhackers,41564,970,1444,4424
Evan Ponchick,7231,1341,,Leslie & the Bushwhackers,38319,4085,1328,8937
Amanda Futrell,N/A,1289,,Leslie & the Bushwhackers,73171,10048,1250,27852
Chris Constantino,10146,1405,,Leslie & the Bushwhackers,69620,10095,1474,6309
David Brady,14719,1435,,Leslie & the Bushwhackers,50639,7881,1250,15592
Aileen Win,N/A,N/A,,Leslie & the Bushwhackers,,,,
Ben Chen,13639,1400,,Leslie & the Bushwhackers,72628,8569,1418,9090
Jamie Uziel,1250,1527,T1000,Hells Belles,29804,559,1478,1567
Julie Driscoll ,4700,1342,,Hells Belles,51806,3216,1429,5044
Meghan Long,5688,1358,,Hells Belles,40488,675,1332,6725
Genele Egea,3770,1335,,Hells Belles,38597,468,1309,4289
Lisa Ramon,5128,1271,,Hells Belles,26698,363,1261,5406
Terri Lynn Delk,5101,1431,,Hells Belles,41210,706,1447,4644
Alyce Kalmar,16806,1178,,Hells Belles,57833,12747,1212,17875
Shannon Sweetser,4124,1406,,Hells Belles,38690,2293,1375,4025
Russ Sweetser,1759,1446,,Hells Belles,19312,464,1488,1737
Eric Wagensonner,140,1628,T500,The Trust,8855,156,1663,148
Gabe Da Silveira,218,1594,T500,The Trust,18245,2075,1604,179
Jeremy Herrman,1479,1574,T500,The Trust,22175,927,1565,1024
Derek Lipkin,750,1527,T1000,The Trust,33048,86,1479,875
Daylene Langum,3150,1415,,The Trust,45061,1760,1393,3900
Ryan Blumenthal,2893,1447,,The Trust,19313,2030,1478,3683
Anthony R,N/A,N/A,,The Trust,,,,
Jordan Lay,24166,1257,,The Trust,70684,9446,1328,12548
Noah Garrett Wallach,9660,1045,,The Trust,55160,2530,1360,9192
Rebecca Neufeld,36008,N/A,,The Trust,62055,,1197,37475
Steve Dupree,N/A,N/A,,The Trust,60702,,1250,23585
Zac Wollons,93,1634,T500,TBD,21965,41,1655,112
Darren Ensley,1411,1493,T1000,TBD,12117,424,1513,1451
Tom Collins,3185,1506,T1000,TBD,12378,6963,1578,2387
Adam Abeyta,5139,1471,,TBD,64521,8089,1570,3212
Maura Devereux,3182,1392,,TBD,25487,2142,1407,3617
Eddie Codel,3468,1375,,TBD,25476,1114,1389,3807
Susie Wasserstrom,9467,1414,,TBD,40436,535,1398,9653
Bennett Schatz,8821,1414,,TBD,64518,8181,1497,4662
David Volansky,n/a,1354,,TBD,16705,,1333,0
Simon Anixter,1515,1473,,TBD,21927,2636,1551,1287
Jeremy Williams,1687,1465,,TBD,14560,59,1519,2178
Kallie Schloemann,N/A,N/A,,TBD,,,,
Das Damico,2072,1508,T1000,Flip Mode Squad,39717,566,1533,2185
Matt Henri,1390,1482,T1000,Flip Mode Squad,16767,2152,1404,1789
Matt Willmarth,1680,1467,,Flip Mode Squad,10662,962,1521,2188
James Squires,4217,1451,,Flip Mode Squad,10751,547,1467,5140
Andy Steinhauser,3491,1469,,Flip Mode Squad,23707,2180,1515,4425
Ryan Wooley,2968,1472,,Flip Mode Squad,25460,2172,1484,3357
N8 Ball Deluxe,1353,1456,,Flip Mode Squad,25465,2159,1490,1642
Zac Desario,4013,1407,,Flip Mode Squad,44053,3127,1423,4488
Clouse,N/A,1210,,Flip Mode Squad,,,,
James Teets,15770,N/A,,Flip Mode Squad,44060,,1250,19218
Jared Garvey,359,1608,T500,Vandelay Pindustries,35784,135,1622,391
David Lee,538,1542,T500,Vandelay Pindustries,12216,162,1516,735
Nick Yahnke,1376,1500,T1000,Vandelay Pindustries,44733,1627,1523,1414
David Ortega,3706,1452,,Vandelay Pindustries,45894,2469,1402,4021
Emily Palmer,11312,1255,,Vandelay Pindustries,53002,11289,1254,10534
Gina Collecchia,11695,1296,,Vandelay Pindustries,72629,11357,1423,7775
John Cena,5098,1337,,Vandelay Pindustries,24766,1171,1296,5893
Jose Godinez,2481,1459,,Vandelay Pindustries,38603,943,1445,2339
Mike Villarreal,2488,1435,,Vandelay Pindustries,30082,790,1408,2905
Nikki Muñoz,N/A,N/A,,Vandelay Pindustries,,,,
Brian O’Neill,54,1669,T500,Outer Orbit Otters,19301,184,1656,66
Greg Creech,4172,1390,,Outer Orbit Otters,44319,2961,1354,4905
Cassie Barnes,10537,1277,,Outer Orbit Otters,57363,6069,1245,11709
Megan Magick,21322,1161,,Outer Orbit Otters,68699,5126,1188,12474
Veronica Grisham,18707,1211,,Outer Orbit Otters,68696,9419,1163,21599
Jack Marrow,N/A,N/A,,Outer Orbit Otters,,,,
Manu Smith,11704,1394,,Outer Orbit Otters,36767,7691,1369,12445
Mary Smith,N/A,N/A,,Outer Orbit Otters,75414,13227,1328,14437
Lauren McNeil,11527,1362,,Outer Orbit Otters,1316,37640,1250,0
Brandy Nicole Thompson,10295,1351,,Outer Orbit Otters,40156,1844,1338,11684
Christian Gainsley,9822,1345,,Outer Orbit Otters,52910,3241,1439,6242
Elisabeth Kohnke,13436,1294,,Outer Orbit Otters,56016,,1338,14208
Jeff C Jenson,N/A,N/A,,Outer Orbit Otters,,,,
Travis Mackin,N/A,N/A,,Outer Orbit Otters,,,,
Michael Szabo,15274,1231,,Outer Orbit Otters,24780,12639,1428,7560
Mike Miller,,,,,26157,161,1563,603
Allison O'Neil,,,,,19302,181,1542,589
Bryn Garrehy,,,,,64509,,1205,10652
Danny Zhang,,,,,44734,1667,1232,11801
Gilbert Amar,,,,,62268,7871,1326,3406
Janel Valdez,,,,,45062,1761,1542,1276
Justin Guevara,,,,,67154,5286,1305,11452
Louise Wagensonner,,,,,19305,677,1617,340
Luke Baxter,,,,,48658,2874,1669,194
Megan Doak,,,,,,,,
Nicholas Sternhagen,,,,,,,,
Per Schwarzenberger,,,,,12220,2,1631,231
Tom Miller,,,,,53128,4125,1453,2126